id,name,permalink,create_date,mrp,price,offer_price,discount,store_id,category_id,              data_source,ref_id,url,description,deal_notes,meta_title,meta_key,meta_des,brand,              size,size_unit,color,key_features,features,specifications,offers,in_stock,free_shipping,              shippingCharge,mm_average_rating,is_deal,is_coupon,start_date,end_date,coupon_code,              special_deal,upcoming_deal,show_as_banner,local_store_deal,localstore_deal_enabled,              featured,enabled,no_cashback,base_product,match_set,match_attempt,store_count,              display_order,last_update,deleted
"","Xiaomi Redmi Note 4 GOLD -64GB 4GB Ram Sealed Packed Brand New","","24-05-2017 17:27","","15,199.00","15,199.00","","","Mobile Phones","ebay.in","142219499756","http://www.ebay.in/itm/Xiaomi-Redmi-Note-4-GOLD-64GB-4GB-Ram-Sealed-Packed-Brand-New-/142219499756?hash=item211cf158ec:g:yWgAAOSwOgdYnrGQ","Operating System Version Name: Android v6.0.1 (Marshmallow) OS, Serviced In India: Yes, Type: Smartphone, Bundled Items: Handset, Charger, User Manual, Touchscreen: Yes, Operating System: Android, Warranty Service: Repair, Brand: Xiaomi, RAM: 4gb, Primary Camera: 13.0 MP, Screen Size: 5.5 Inch, Condition: New, Warranty Partner Name: Xiaomi Authorised Service care centers, Sim Type: Dual SIM (LTE+LTE), Colour: Gold, UPC: 6954176831569, Model: Redmi note 4, Storage Capacity (Internal): 64gb, Processor: Qualcomm Snapdragon625 64-bit Octa Core, Warranty: Manufacturer Warranty, Features: 4G Data Capable, Bluetooth Enabled, Colour Screen, Dual Sim, External Memory, MPN: MZB5279IN, Warranty Details: One Year Manufacture Warranty, Warranty Conditions: As per manufacture terms and conditions, Secondary Camera: 5.0 MP, Duration: 1 year.","","Xiaomi Redmi Note 4 GOLD -64GB 4GB Ram Sealed Packed Brand New","","Xiaomi Redmi Note 4 GOLD -64GB 4GB Ram Sealed Packed Brand New","Xiaomi","",           "","Gold","","{u'Operating System Version Name': u'Android v6.0.1 (Marshmallow) OS', u'Serviced In India': u'Yes', u'Type': u'Smartphone', u'Bundled Items': u'Handset, Charger, User Manual', u'Touchscreen': u'Yes', u'Operating System': u'Android', u'Warranty Service': u'Repair', 'Brand': u'Xiaomi', u'RAM': u'4gb', u'Primary Camera': u'13.0 MP', u'Screen Size': u'5.5 Inch', 'Condition': u'New', u'Warranty Partner Name': u'Xiaomi Authorised Service care centers', u'Sim Type': u'Dual SIM (LTE+LTE)', u'Colour': u'Gold', u'UPC': u'6954176831569', u'Model': u'Redmi note 4', u'Storage Capacity (Internal)': u'64gb', u'Processor': u'Qualcomm Snapdragon625 64-bit Octa Core', u'Warranty': u'Manufacturer Warranty', u'Features': u'4G Data Capable, Bluetooth Enabled, Colour Screen, Dual Sim, External Memory', u'MPN': u'MZB5279IN', u'Warranty Details': u'One Year Manufacture Warranty', u'Warranty Conditions': u'As per manufacture terms and conditions', u'Secondary Camera': u'5.0 MP', u'Duration': u'1 year'}","","","","1","","","","","","","","","","","","",           "","","","","","","","","",""
"","Samsung Galaxy Note 2, 2GB RAM, 16GB ROM, Same Day Ship, 1 Year Warranty, GREY","","24-05-2017 17:27","","7,999.00","7,999.00","","","Mobile Phones","ebay.in","252929989331","http://www.ebay.in/itm/Samsung-Galaxy-Note-2-2GB-RAM-16GB-ROM-Same-Day-Ship-1-Year-Warranty-GREY-/252929989331?hash=item3ae3cd5ad3:g:xz8AAOSwaEhZEpsY","Operating System Version Name: Jelly Bean, Serviced In India: Yes, Type: Touch, Smartphone, Bundled Items: Handset, Charger, USB Data Cable, Battery Capacity: 3100 mAh, Touchscreen: Yes, Operating System: Android, Warranty Service: Repair, Brand: Samsung, RAM: 2 GB, Primary Camera: 8.0 MP, Screen Size: 5 Inch - 5.9 Inch, Condition: Manufacturer refurbished, Sim Type: Single SIM, Colour: Grey, UPC: Does not apply, Model: Galaxy Note 2, Storage Capacity (Internal): 16 GB, Processor: Quad Core, Warranty: Seller Warranty, Features: 3G Data Capable, Bluetooth Enabled, Colour Screen, Email, External Memory, MPN: Does Not Apply, Secondary Camera: 1.9 MP, Duration: 1 year.","","Samsung Galaxy Note 2, 2GB RAM, 16GB ROM, Same Day Ship, 1 Year Warranty, GREY","","Samsung Galaxy Note 2, 2GB RAM, 16GB ROM, Same Day Ship, 1 Year Warranty, GREY","Samsung","",           "","Grey","","{u'Operating System Version Name': u'Jelly Bean', u'Serviced In India': u'Yes', u'Type': u'Touch, Smartphone', u'Bundled Items': u'Handset, Charger, USB Data Cable', u'Battery Capacity': u'3100 mAh', u'Touchscreen': u'Yes', u'Operating System': u'Android', u'Warranty Service': u'Repair', 'Brand': u'Samsung', u'RAM': u'2 GB', u'Primary Camera': u'8.0 MP', u'Screen Size': u'5 Inch - 5.9 Inch', 'Condition': u'Manufacturer refurbished', u'Sim Type': u'Single SIM', u'Colour': u'Grey', u'UPC': u'Does not apply', u'Model': u'Galaxy Note 2', u'Storage Capacity (Internal)': u'16 GB', u'Processor': u'Quad Core', u'Warranty': u'Seller Warranty', u'Features': u'3G Data Capable, Bluetooth Enabled, Colour Screen, Email, External Memory', u'MPN': u'Does Not Apply', u'Secondary Camera': u'1.9 MP', u'Duration': u'1 year'}","","","","1","","","","","","","","","","","","",           "","","","","","","","","",""
"","Moto G4 plus 4th Gen 32GB Dual Sim Manufacturer Warranty white","","24-05-2017 17:27","","14,500.00","14,500.00","","","Mobile Phones","ebay.in","252928312058","http://www.ebay.in/itm/Moto-G4-plus-4th-Gen-32GB-Dual-Sim-Manufacturer-Warranty-white-/252928312058?hash=item3ae3b3c2fa:g:nm4AAOSwX61ZEXlz","Operating System Version Name: Android™ 6.0.1, Marshmallow, Type: Touch, Smartphone, Bundled Items: Charger, Data Cable, Touchscreen: Yes, Operating System: Android, Warranty Service: Repair, Brand: Motorola, RAM: 3 GB, Processor: Octa Core, Screen Size: 5.5 Inch, Condition: New, Sim Type: Dual Sim(GSM + GSM), Colour: White, UPC: Does not apply, Model: Moto G4 Plus, Storage Capacity (Internal): 32 GB, Primary Camera: 16 MP, Warranty: Manufacturer Warranty, Features: 3G, Bluetooth, GSM, HD Recording, MP3 Player, Primary Camera, FM Radio, GPS, Internet Browser, Colour Screen, Dual Sim, Email, External Memory, MPN: Does Not Apply, Secondary Camera: 5 MP, Duration: 1 year.","","Moto G4 plus 4th Gen 32GB Dual Sim Manufacturer Warranty white","","Moto G4 plus 4th Gen 32GB Dual Sim Manufacturer Warranty white","Motorola","",           "","White","","{u'Operating System Version Name': u'Android\u2122 6.0.1, Marshmallow', u'Type': u'Touch, Smartphone', u'Bundled Items': u'Charger, Data Cable', u'Touchscreen': u'Yes', u'Operating System': u'Android', u'Warranty Service': u'Repair', 'Brand': u'Motorola', u'RAM': u'3 GB', u'Processor': u'Octa Core', u'Screen Size': u'5.5 Inch', 'Condition': u'New', u'Sim Type': u'Dual Sim(GSM + GSM)', u'Colour': u'White', u'UPC': u'Does not apply', u'Model': u'Moto G4 Plus', u'Storage Capacity (Internal)': u'32 GB', u'Primary Camera': u'16 MP', u'Warranty': u'Manufacturer Warranty', u'Features': u'3G, Bluetooth, GSM, HD Recording, MP3 Player, Primary Camera, FM Radio, GPS, Internet Browser, Colour Screen, Dual Sim, Email, External Memory', u'MPN': u'Does Not Apply', u'Secondary Camera': u'5 MP', u'Duration': u'1 year'}","","","","1","","","","","","","","","","","","",           "","","","","","","","","",""
"","TCL Pride T500L 4G - SEAL PACKED - 2GB RAM, 16GB ROM, Dual Sim, BLACK Color","","24-05-2017 17:27","","5,999.00","5,999.00","","","Mobile Phones","ebay.in","252859698392","http://www.ebay.in/itm/TCL-Pride-T500L-4G-SEAL-PACKED-2GB-RAM-16GB-ROM-Dual-Sim-BLACK-Color-/252859698392?hash=item3adf9cccd8:g:r3kAAOSw3utY6O8e","Operating System Version Name: Lollipop, Serviced In India: Yes, Type: Touch, Smartphone, Bundled Items: Handset, Charger, Earphone, User Manual, Warranty Card, Battery Capacity: 3050 mAh, Touchscreen: Yes, Operating System: Android, Warranty Service: Repair, Brand: TCL, RAM: 2 GB, Primary Camera: 13.0 MP, Screen Size: 5 Inch - 5.9 Inch, Condition: New, Sim Type: Dual SIM, Colour: Black, UPC: Does not apply, Model: Pride T500L, Storage Capacity (Internal): 16 GB, Processor: Octa Core, Warranty: Manufacturer Warranty, Features: 3G Data Capable, 4G Data Capable, Bluetooth Enabled, Colour Screen, Dual Sim, Email, External Memory, MPN: Does Not Apply, Secondary Camera: 8.0 MP, Duration: 1 year.","","TCL Pride T500L 4G - SEAL PACKED - 2GB RAM, 16GB ROM, Dual Sim, BLACK Color","","TCL Pride T500L 4G - SEAL PACKED - 2GB RAM, 16GB ROM, Dual Sim, BLACK Color","TCL","",           "","Black","","{u'Operating System Version Name': u'Lollipop', u'Serviced In India': u'Yes', u'Type': u'Touch, Smartphone', u'Bundled Items': u'Handset, Charger, Earphone, User Manual, Warranty Card', u'Battery Capacity': u'3050 mAh', u'Touchscreen': u'Yes', u'Operating System': u'Android', u'Warranty Service': u'Repair', 'Brand': u'TCL', u'RAM': u'2 GB', u'Primary Camera': u'13.0 MP', u'Screen Size': u'5 Inch - 5.9 Inch', 'Condition': u'New', u'Sim Type': u'Dual SIM', u'Colour': u'Black', u'UPC': u'Does not apply', u'Model': u'Pride T500L', u'Storage Capacity (Internal)': u'16 GB', u'Processor': u'Octa Core', u'Warranty': u'Manufacturer Warranty', u'Features': u'3G Data Capable, 4G Data Capable, Bluetooth Enabled, Colour Screen, Dual Sim, Email, External Memory', u'MPN': u'Does Not Apply', u'Secondary Camera': u'8.0 MP', u'Duration': u'1 year'}","","","","1","","","","","","","","","","","","",           "","","","","","","","","",""
"","Acer Liquid Z630S 4G - SEAL PACKED - 3GB RAM, 32GB ROM, 1 Year Acer Warranty","","24-05-2017 17:27","","8,599.00","8,599.00","","","Mobile Phones","ebay.in","252850713748","http://www.ebay.in/itm/Acer-Liquid-Z630S-4G-SEAL-PACKED-3GB-RAM-32GB-ROM-1-Year-Acer-Warranty-/252850713748?hash=item3adf13b494:g:M04AAOSw53NY~d~0","Operating System Version Name: Lollipop, Serviced In India: Yes, Type: Touch, Smartphone, Bundled Items: Handset, Headset, Charger, AC Adaptor, USB Cable, Quick Start Guide, Warranty Card, Safety Leaflet, Battery Capacity: 4000 mAh, Touchscreen: Yes, Operating System: Android, Warranty Service: Repair, Brand: Acer, RAM: 3 GB, Primary Camera: 8.0 MP, Screen Size: 5 Inch - 5.9 Inch, Condition: New, Sim Type: Dual SIM, Colour: Black, UPC: Does not apply, Model: Liquid Z630S, Storage Capacity (Internal): 32 GB, Processor: Octa Core, Warranty: Manufacturer Warranty, Features: 3G Data Capable, 4G Data Capable, Bluetooth Enabled, Colour Screen, Dual Sim, Email, External Memory, MPN: Does Not Apply, Secondary Camera: 8.0 MP, Duration: 1 year.","","Acer Liquid Z630S 4G - SEAL PACKED - 3GB RAM, 32GB ROM, 1 Year Acer Warranty","","Acer Liquid Z630S 4G - SEAL PACKED - 3GB RAM, 32GB ROM, 1 Year Acer Warranty","Acer","",           "","Black","","{u'Operating System Version Name': u'Lollipop', u'Serviced In India': u'Yes', u'Type': u'Touch, Smartphone', u'Bundled Items': u'Handset, Headset, Charger, AC Adaptor, USB Cable, Quick Start Guide, Warranty Card, Safety Leaflet', u'Battery Capacity': u'4000 mAh', u'Touchscreen': u'Yes', u'Operating System': u'Android', u'Warranty Service': u'Repair', 'Brand': u'Acer', u'RAM': u'3 GB', u'Primary Camera': u'8.0 MP', u'Screen Size': u'5 Inch - 5.9 Inch', 'Condition': u'New', u'Sim Type': u'Dual SIM', u'Colour': u'Black', u'UPC': u'Does not apply', u'Model': u'Liquid Z630S', u'Storage Capacity (Internal)': u'32 GB', u'Processor': u'Octa Core', u'Warranty': u'Manufacturer Warranty', u'Features': u'3G Data Capable, 4G Data Capable, Bluetooth Enabled, Colour Screen, Dual Sim, Email, External Memory', u'MPN': u'Does Not Apply', u'Secondary Camera': u'8.0 MP', u'Duration': u'1 year'}","","","","1","","","","","","","","","","","","",           "","","","","","","","","",""
"","Apple  iPhone 6S - 16 GB - Space Grey ","","24-05-2017 17:27","","27,730.00","27,730.00","","","Mobile Phones","ebay.in","232336608356","http://www.ebay.in/itm/Apple-iPhone-6S-16-GB-Space-Grey-/232336608356?hash=item3618574c64:g:srMAAOSwzqFY~b7X","Warranty: Seller Warranty, Operating System Version Name: IOS, Features: 4G Data Capable, Sim Type: Single Sim, MPN: Does Not Apply, Storage Capacity (Internal): 16 GB, Brand: Apple, RAM: 2GB, UPC: Does not apply, Camera: 12.0 MP, Capacity: 16 GB, Duration: 6 months, Operating System: iOS - Apple, Model: 6S, Screen Size: 4.7 Inch, Processor: Apple A9, Condition: Seller refurbished, Colour: Space Gray.","","Apple  iPhone 6S - 16 GB - Space Grey ","","Apple  iPhone 6S - 16 GB - Space Grey ","Apple","",           "","Space Gray","","{u'Warranty': u'Seller Warranty', u'Operating System Version Name': u'IOS', u'Features': u'4G Data Capable', u'Sim Type': u'Single Sim', u'MPN': u'Does Not Apply', u'Storage Capacity (Internal)': u'16 GB', 'Brand': u'Apple', u'RAM': u'2GB', u'UPC': u'Does not apply', u'Camera': u'12.0 MP', u'Capacity': u'16 GB', u'Duration': u'6 months', u'Operating System': u'iOS - Apple', u'Model': u'6S', u'Screen Size': u'4.7 Inch', u'Processor': u'Apple A9', 'Condition': u'Seller refurbished', u'Colour': u'Space Gray'}","","","","1","","","","","","","","","","","","",           "","","","","","","","","",""
"","New Apple iPhone 6 Plus - 64 GB - GOLD - BRAND NEW - Imported ","","24-05-2017 17:27","","30,690.00","30,690.00","","","Mobile Phones","ebay.in","232336569942","http://www.ebay.in/itm/New-Apple-iPhone-6-Plus-64-GB-GOLD-BRAND-NEW-Imported-/232336569942?hash=item361856b656:g:gB4AAOSwjL5ZCxke","Warranty: Seller Warranty, Operating System: iOS - Apple, Features: 4G Data Capable, MPN: MGCR2LL/A, Brand: Apple, Camera: 8.0 MP, Capacity: 64 GB, Model: 6 Plus, Condition: New.","","New Apple iPhone 6 Plus - 64 GB - GOLD - BRAND NEW - Imported ","","New Apple iPhone 6 Plus - 64 GB - GOLD - BRAND NEW - Imported ","Apple","",           "","","","{u'Warranty': u'Seller Warranty', u'Operating System': u'iOS - Apple', u'Features': u'4G Data Capable', u'MPN': u'MGCR2LL/A', 'Brand': u'Apple', u'Camera': u'8.0 MP', u'Capacity': u'64 GB', u'Model': u'6 Plus', 'Condition': u'New'}","","","","1","","","","","","","","","","","","",           "","","","","","","","","",""
"","New Samsung Galaxy A7- 4G DUAL- SEAL PACK UNIT","","24-05-2017 17:27","","13,750.00","13,750.00","","","Mobile Phones","ebay.in","252921197474","http://www.ebay.in/itm/New-Samsung-Galaxy-A7-4G-DUAL-SEAL-PACK-UNIT-/252921197474?hash=item3ae34733a2:g:-88AAOSww9xZDGec","Warranty: Seller Warranty, Operating System: ANDROID, Features: 3G Data Capable, 4G Data Capable, Bluetooth Enabled, Dual Sim, Sim Type: Dual SIM, MPN: A7, Brand: SAMSUNG, RAM: 2 GB, Warranty Conditions: software, Secondary Camera: 16MP, Duration: 6 months, Operating System Version Name: NA, Model: A7 , Storage Capacity (Internal): 16GB, Processor: NA, Condition: New, Colour: GOLD.","","New Samsung Galaxy A7- 4G DUAL- SEAL PACK UNIT","","New Samsung Galaxy A7- 4G DUAL- SEAL PACK UNIT","SAMSUNG","",           "","GOLD","","{u'Warranty': u'Seller Warranty', u'Operating System': u'ANDROID', u'Features': u'3G Data Capable, 4G Data Capable, Bluetooth Enabled, Dual Sim', u'Sim Type': u'Dual SIM', u'MPN': u'A7', 'Brand': u'SAMSUNG', u'RAM': u'2 GB', u'Warranty Conditions': u'software', u'Secondary Camera': u'16MP', u'Duration': u'6 months', u'Operating System Version Name': u'NA', u'Model': u'A7 ', u'Storage Capacity (Internal)': u'16GB', u'Processor': u'NA', 'Condition': u'New', u'Colour': u'GOLD'}","","","","1","","","","","","","","","","","","",           "","","","","","","","","",""
"","Brand New Sealed Samsung J3 Pro - Gold colour  S Bike Mode -5 inch HD 2gb16gb","","24-05-2017 17:27","","9,250.00","9,250.00","","","Mobile Phones","ebay.in","252922582838","http://www.ebay.in/itm/Brand-New-Sealed-Samsung-J3-Pro-Gold-colour-S-Bike-Mode-5-inch-HD-2gb16gb-/252922582838?hash=item3ae35c5736:g:Id8AAOSwmgJY7iF8","Warranty: Manufacturer Warranty, Operating System: Android, Sim Type: Dual SIM, MPN: Does Not Apply, Screen Size: 5.0'', Brand: Samsung, RAM: 2 GB, UPC: 611801790344, Processor: Quad Core, Operating System Version Name: Android, Secondary Camera: 5.0 MP, Duration: 1 year, Serviced In India: Yes, Model: Samsung Galaxy J3 Pro, Storage Capacity (Internal): 16 GB, Primary Camera: 8.0 MP, Condition: New, Colour: Gold.","","Brand New Sealed Samsung J3 Pro - Gold colour  S Bike Mode -5 inch HD 2gb16gb","","Brand New Sealed Samsung J3 Pro - Gold colour  S Bike Mode -5 inch HD 2gb16gb","Samsung","",           "","Gold","","{u'Warranty': u'Manufacturer Warranty', u'Operating System': u'Android', u'Sim Type': u'Dual SIM', u'MPN': u'Does Not Apply', u'Screen Size': u5.0'', 'Brand': u'Samsung', u'RAM': u'2 GB', u'UPC': u'611801790344', u'Processor': u'Quad Core', u'Operating System Version Name': u'Android', u'Secondary Camera': u'5.0 MP', u'Duration': u'1 year', u'Serviced In India': u'Yes', u'Model': u'Samsung Galaxy J3 Pro', u'Storage Capacity (Internal)': u'16 GB', u'Primary Camera': u'8.0 MP', 'Condition': u'New', u'Colour': u'Gold'}","","","","1","","","","","","","","","","","","",           "","","","","","","","","",""
"","Apple  iPhone 6S - 64 GB - Space Grey - WARRANTY ","","24-05-2017 17:27","","36,910.00","36,910.00","","","Mobile Phones","ebay.in","232336181977","http://www.ebay.in/itm/Apple-iPhone-6S-64-GB-Space-Grey-WARRANTY-/232336181977?hash=item361850cad9:g:GCcAAOSwWWxY~bzf","Operating System: iOS - Apple, Features: 4G Data Capable, Sim Type: Single Sim, MPN: Does Not Apply, Brand: Apple, UPC: Does not apply, Camera: 12.0 MP, Capacity: 64 GB, Model: 6S, Storage Capacity (Internal): 64 GB, Colour: Space Grey, Condition: New.","","Apple  iPhone 6S - 64 GB - Space Grey - WARRANTY ","","Apple  iPhone 6S - 64 GB - Space Grey - WARRANTY ","Apple","",           "","Space Grey","","{u'Operating System': u'iOS - Apple', u'Features': u'4G Data Capable', u'Sim Type': u'Single Sim', u'MPN': u'Does Not Apply', 'Brand': u'Apple', u'UPC': u'Does not apply', u'Camera': u'12.0 MP', u'Capacity': u'64 GB', u'Model': u'6S', u'Storage Capacity (Internal)': u'64 GB', u'Colour': u'Space Grey', 'Condition': u'New'}","","","","1","","","","","","","","","","","","",           "","","","","","","","","",""
