id,name,permalink,create_date,mrp,price,offer_price,discount,store_id,category_id,              data_source,ref_id,url,description,deal_notes,meta_title,meta_key,meta_des,brand,              size,size_unit,color,key_features,features,specifications,offers,in_stock,free_shipping,              shippingCharge,mm_average_rating,is_deal,is_coupon,start_date,end_date,coupon_code,              special_deal,upcoming_deal,show_as_banner,local_store_deal,localstore_deal_enabled,              featured,enabled,no_cashback,base_product,match_set,match_attempt,store_count,              display_order,last_update,deleted
"","Gionee P7 16 GB (Gold) 2 GB RAM, Dual Sim 4G","","29-05-2017 20:37","","11499","8799","-23%","","Mobile Phones","tatacliq.com","","https://www.tatacliq.com/gionee-p7-16-gb-gold-2-gb-ram-dual-sim-4g/p-mp000000001421263","Powered by 2 GB RAM and 1.3 GHz Quad Core processor, the Gionee P7 Gold keeps up with your multi-tasking lifestyle. It features a 8 MP camera that lets you capture high-quality images and record videos. You can store all your precious photos and important data on its 16 GB memory, you can expand this upto 128 GB. 2 GB RAM and 16 GB ROM (Expandable up to 128 GB). 5 Inch (12.7 cm), 1280 x 720 pixels HD IPS Display. 5 MP Front and 8 MP Rear Camera. 2300 mAh Li-Ion Battery","","","","Gionee P7 16 GB (Gold) 2 GB RAM, Dual Sim 4G","Gionee","",           "","Gold","","{u'Warranty Description': u'1 Year', u'Performance Features': u'Quad Core 1.3 GHz, Android v6.0 (Marshmallow)', u'Flash': u'LED Flash', u'In the Box': u'Main Unit', u'Memory': u'-', u'Product Width (cm)': u'0', u'Camera Features': u'8 MP with LED Flash', u'Display Features': u'1280 x 720 pixels, HD IPS Capacitive Display', u'Product Height (cm)': u'0', u'Operating System': u'Android v6.0 (Marshmallow)', u'RAM': u'2 GB', u'Color Family': u'Gold', u'Warranty Summary': u'1 Year on Product and 6 Months on Accessories Manufacturer Warranty', u'Connectivity': u'4G', u'Screen Size (cm)': u'12.7 cm', u'Additional Features': u'WhatsApp, Facebook, Hotoday, TouchPal Keyboard', u'Sim Size': u'Micro', u'SIM Type': u'Dual Sim', u'Video Recording': u'Yes', u'Operating Frequency': u'2G, 3G, 4G', u'Connectivity Features': u'2G, 3G, 4G, Bluetooth, Wi-Fi, USB, FM Radio', u'Processor': u'1.3 GHz Quad Core', u'Weight': u'167', u'Front Camera': u'5 MP', u'Primary Camera': u'8 MP', u'Product Depth (cm)': u'0'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","LeEco Le2 4G Dual Sim 32GB (Grey)","","29-05-2017 20:37","","11999","11999","","","Mobile Phones","tatacliq.com","","https://www.tatacliq.com/leeco-le2-4g-dual-sim-32gb-grey/p-mp000000000897578","Powered by a Qualcomm Snapdragon 652 1.8 GHz octa-core processor, 3 GB RAM and 32 GB ROM, the LeEco Le2 Smartphone, Grey lets you access multiple applications without experiencing a lag. It runs on the simple and intuitive Android Marshmallow OS. You can take pictures and videos with its 16 MP primary camera and view them on its clear 5.5-inch Full HD display. 3GB RAM and 32GB ROM (No Expandable Memory). 5.5 Inch 1920 x 1080 pixels (Full HD IPS Display). 16 MP Rear & 8 MP Front Camera. Battery Capacity: 3000 mAh","","","","LeEco Le2 4G Dual Sim 32GB (Grey)","LeEco","",           "","Grey","","{u'Warranty Description': u'1 Year warranty on product', u'Performance Features': u'Qualcomm Snapdragon 652 Octa-Core 1.8GHz Processor', u'Flash': u'Yes', u'In the Box': u'Cell Phone, Charging Adapter, USB Type-C Cable, Quick Start Guide, SIM Tray Pin, Protective Cover Case, USB Type-C to 3.5mm Adapter', u'Memory': u'-', u'Product Width (cm)': u'7.42', u'Camera Features': u'Autofocus / BSI Sensor', u'Display Features': u'1920 x 1080 pixels Full HD IPS Display', u'Product Height (cm)': u'15.11', u'Operating System': u'Android Marshmallow with eui 5.8', u'RAM': u'3 GB', u'Color Family': u'Grey', u'Warranty Summary': u'6 Months warranty on box accessories', u'Connectivity': u'4G', u'Screen Size (cm)': u'13.97 cm', u'Additional Features': u'Fingerprint Sensor', u'Sim Size': u'Nano', u'SIM Type': u'Dual Sim (LTE + LTE)', u'Video Recording': u'1080p@30FPS', u'Operating Frequency': u'2G, 3G, 4G', u'Connectivity Features': u'Bluetooth V4.1, Wi-Fi, USB 2.0 Type C, GPS', u'Processor': u'Qualcomm Snapdragon 652 Octa-Core 1.8GHz', u'Weight': u'153', u'Front Camera': u'8 MP', u'Primary Camera': u'16 MP', u'Product Depth (cm)': u'0.77'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","iVoomi iV Smart 4GB (Black) 512MB RAM, Dual Sim 4G","","29-05-2017 20:37","","3599","3199","-11%","","Mobile Phones","tatacliq.com","","https://www.tatacliq.com/ivoomi-iv-smart-4gb-black-512mb-ram-dual-sim-4g/p-mp000000001452715","Take pictures, watch video, chat and connect with friends with the iVoomi iV Smart 4GB (Black) smartpone. This budget friendly smartphone comes with 512 MB RAM and 4 GB internal memory, which can be expanded upto 128 GB. 512 MB RAM and 4 GB ROM(Expandable upto 128 GB). Screen Size:4 Inches, 480x854 Pixels(TFT Display). 2 MP Rear & 0.3 MP Front Camera. 1800 mAh Battery","","","","iVoomi iV Smart 4GB (Black) 512MB RAM, Dual Sim 4G","iVOOMi","",           "","Black","","{u'Warranty Description': u'1 Year', u'Performance Features': u'1.2 GHz Quad-Core processor', u'Flash': u'Yes', u'In the Box': u'Handset, Battery, Earphone, AC Power Adapter, USB Cable, User Manual, Warranty Card', u'Memory': u'-', u'Product Width (cm)': u'6.5', u'Camera Features': u'Geo-tagging', u'Display Features': u'480x854 Pixels (TFT Display)', u'Product Height (cm)': u'12.5', u'Operating System': u'Android v6.0 (Marshmallow)', u'RAM': u'512 MB', u'Color Family': u'Black', u'Warranty Summary': u'Manufacturer Warranty', u'Connectivity': u'4G', u'Screen Size (cm)': u'10.16 cm', u'Additional Features': u'Email, Google Play store, Calendar', u'Sim Size': u'Micro', u'SIM Type': u'Dual Sim', u'Video Recording': u'Yes', u'Operating Frequency': u'2G, 3G, 4G', u'Connectivity Features': u'Micro USB, 3.5mmAudiojack, Bluetooth, Wi-Fi', u'Processor': u'1.2 GHz Quad Core Processor', u'Weight': u'118', u'Front Camera': u'0.3 MP', u'Primary Camera': u'2 MP', u'Product Depth (cm)': u'1.1'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","HTC Desire 626G+ Dual Sim 8 GB (Blue Lagoon)","","29-05-2017 20:37","","11990","7490","-37%","","Mobile Phones","tatacliq.com","","https://www.tatacliq.com/htc-desire-626g-dual-sim-8-gb-blue-lagoon/p-mp000000000822635","The HTC Desire 626 G+ Smartphone runs on Android. It features a 13 MP camera that lets you capture high-quality images and record videos. You can store files and important data on its 8 GB memory. Furthermore, this blue smartphone is powered by a reliable 1.3 GHz octa-core processor that takes care of all its processing needs. 1 GB RAM & 8 GB ROM (Expandable Upto 32 GB). 5 inch Screen, 720 x 1280 pixels. 13 MP Rear & 5 MP Primary Camera. 2000 mAh Battery Capacity","","","","HTC Desire 626G+ Dual Sim 8 GB (Blue Lagoon)","HTC","",           "","Blue","","{u'Warranty Description': u'1 Year', u'Performance Features': u'1.3 GHz Octa-Core Processor', u'Flash': u'Yes', u'In the Box': u'Handset', u'Memory': u'-', u'Product Width (cm)': u'7.09', u'Camera Features': u'13 MP, Autofocus', u'Display Features': u'1280 x 720 pixels Resolution, Capacitive Touchscreen', u'Product Height (cm)': u'14.69', u'Operating System': u'Android v4.4.2 (KitKat)', u'RAM': u'1 GB', u'Color Family': u'Blue', u'Warranty Summary': u'Manufacturer Warranty', u'Connectivity': u'3G', u'Screen Size (cm)': u'12.7 cm', u'Additional Features': u'Gmail, Google Chrome, Play Store, Calculator', u'Sim Size': u'Nano', u'SIM Type': u'Dual Sim', u'Video Recording': u'1080p', u'Operating Frequency': u'GSM + UMTS', u'Connectivity Features': u'3.5 mm Stereo Audio jack, Bluetooth 4.0, Wi-Fi 802.11 b/g/n, Micro Usb 2.0', u'Processor': u'1.3 GHz Octa Core', u'Weight': u'138', u'Front Camera': u'5 MP', u'Primary Camera': u'13 MP', u'Product Depth (cm)': u'0.81'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","Lenovo P70 Dual Sim 16 GB (Blue)","","29-05-2017 20:37","","12999","10399","-20%","","Mobile Phones","tatacliq.com","","https://www.tatacliq.com/lenovo-p70-dual-sim-16-gb-blue/p-mp000000000965191","The Lenovo P70 Smartphone runs on Android 4.4 KitKat, giving you access to various interesting applications. This smartphone features a 5-inch touchscreen display that delivers crisp and clear visuals. Moreover, its 1.7 GHz octa-core processor enables a seamless operation. 2 GB RAM & 16 GB ROM (Expandable Upto 32 GB). 5 inch Screen, 1280 x 720 pixels (IPS display). 13 MP Rear & 5 MP Front Camera. 4000 mAh Battery (Upto 18 Hours Talktime)","","","","Lenovo P70 Dual Sim 16 GB (Blue)","Lenovo","",           "","Blue","","{u'Warranty Description': u'1 Year', u'Performance Features': u'1.7 GHz 64-bit True 8 Core Processor', u'Flash': u'Yes', u'In the Box': u'Handset, Charger, Earphones, USB Cable and User Manual', u'Memory': u'-', u'Product Width (cm)': u'7.18', u'Camera Features': u'13 MP, Autofocus', u'Display Features': u'1280 x 720 pixels Resolution, IPS Display', u'Product Height (cm)': u'14.2', u'Operating System': u'Android v4.4 (KitKat)', u'RAM': u'2 GB', u'Color Family': u'Blue', u'Warranty Summary': u'Manufacturer Warranty', u'Connectivity': u'4G', u'Screen Size (cm)': u'12.7 cm', u'Additional Features': u', SYNCit, Maps, Street Views', u'Sim Size': u'Micro', u'SIM Type': u'Dual Sim', u'Video Recording': u'Yes', u'Operating Frequency': u'2G, 3G, 4G', u'Connectivity Features': u'GPRS, EDGE, HSPA+, LTE, WLAN, Bluetooth v4.0, A-GPS', u'Processor': u'1.7 GHz Tru Octa Core', u'Weight': u'149', u'Front Camera': u'5 MP', u'Primary Camera': u'13 MP', u'Product Depth (cm)': u'0.89'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","Yu Yunique YU4711 4G Dual Sim 8 GB (Black)","","29-05-2017 20:37","","6999","5295","-24%","","Mobile Phones","tatacliq.com","","https://www.tatacliq.com/yu-yunique-yu4711-4g-dual-sim-8-gb-black/p-mp000000000413212","Powered by a 1.2 GHz quad core processor and a 1 GB RAM, the Yu Yunique YU4711 Black Smartphone lets you access multiple applications. It runs on the simple and intuitive Android Lollipop v5.1.1 OS. You can take pictures and videos with its 8 MP camera and view them on its clear 4.7-inch display. The 8 GB memory of this touchscreen smartphone can be expanded to 32 GB for a hassle-free storage. 1 GB RAM and 8 GB ROM(Expandable upto 32GB). 4.7  Screen & 1280 x 720 pixels Resolution. 8 MP Rear & 2 MP Front Camera. 2000 mAh Battery (Upto 7hrs of talktime)","","","","Yu Yunique YU4711 4G Dual Sim 8 GB (Black)","Yu","",           "","Black","","{u'Warranty Description': u'1 Year', u'Performance Features': u'Qualcomm MSM8916 Snapdragon 410 Chipset and Quad-core 1.2 GHz Cortex-A53 Processor', u'Flash': u'LED Flash', u'In the Box': u'Handset, Battery, Headset, Charger, User Manual', u'Memory': u'-', u'Product Width (cm)': u'6.8', u'Camera Features': u'Digital Zoom / Auto Flash / Digital Image Stabilization / Face Detection / Touch to Focus', u'Display Features': u'4.7 Screen with IPS Display and HD (1280*720) Resolution', u'Product Height (cm)': u'13.5', u'Operating System': u'Android v5.1.1 (Lollipop)', u'RAM': u'1 GB', u'Color Family': u'Black', u'Warranty Summary': u'Manufacturer Warranty', u'Connectivity': u'4G', u'Screen Size (cm)': u'11.94 cm', u'Additional Features': u'Google Search, Outlook, Play Store', u'Sim Size': u'Micro', u'SIM Type': u'Dual Sim', u'Video Recording': u'1080p', u'Unique Thing': u'Proximity Sensor', u'Operating Frequency': u'GSM + LTE', u'Connectivity Features': u'WLAN ,USB , Bluetooth v4.0 Connectivity', u'Processor': u'1.2 GHz Cortex-A53 Quad Core', u'Weight': u'128', u'Front Camera': u'2 MP', u'Primary Camera': u'8 MP', u'Product Depth (cm)': u'0.8'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","Lava A82 3G Dual Sim 8 GB (Blue)","","29-05-2017 20:37","","5299","3749","-29%","","Mobile Phones","tatacliq.com","","https://www.tatacliq.com/lava-a82-3g-dual-sim-8-gb-blue/p-mp000000000208599","The Lava A82 3G in Blue is designed to offer the best of style and functionality. Powered by 1.2 GHz Quad Core Processor and 1GB RAM and you are sure to enjoy multi-tasking like never before. The 5MP primary and 2MP secondary camera captures images with absolute clarity. The A82 is packed with an 8GB ROM, which stores all your music, videos, images and data. 1 GB RAM, 8 GB Internal Memory,Micro SD up to 32GB. 5 inch (12.7 cm) display. Rear 5 MP, Front 2 MP. 2000 mAh Li-Ion Battery","","","","Lava A82 3G Dual Sim 8 GB (Blue)","Lava","",           "","Blue","","{u'Warranty Description': u'1 year', u'Performance Features': u'1.2 GHz Quad Core Processor', u'Flash': u'LED Flash', u'In the Box': u'Main unit, Warranty Card', u'Memory': u'-', u'Product Width (cm)': u'7.2', u'Camera Features': u'Geo-tagging / Face Detection / Panorama / HDR', u'Display Features': u'5 Inch 12.7 cm FWVGA 480x854 TFT Display 196 PPI', u'Product Height (cm)': u'14.4', u'Operating System': u'Android v5.1 (Lollipop)', u'RAM': u'1 GB', u'Color Family': u'Blue', u'Warranty Summary': u'1 year manufacturer warranty for Phone and 6 months warranty for in the box accessories', u'Screen Size (cm)': u'12.7 cm', u'Additional Features': u'Music Player,Video Player,FM', u'Sim Size': u'GSM + GSM', u'SIM Type': u'Dual Sim', u'Video Recording': u'Yes', u'Unique Thing': u'Face Detection', u'Operating Frequency': u'gsm 2g(900/1800) wcdma 3g(2100)', u'Connectivity Features': u'2 PIN Micro USB,3.5mmAudiojack,Bluetooth,Wi-Fi', u'Processor': u'1.2 GHz Quad Core', u'Weight': u'142', u'Front Camera': u'2 MP', u'Primary Camera': u'5 MP', u'Product Depth (cm)': u'0.9'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","Honor 8 Smart 16GB (Black) 2GB RAM, Dual SIM 4G","","29-05-2017 20:37","","20999","15999","-23%","","Mobile Phones","tatacliq.com","","https://www.tatacliq.com/honor-8-smart-16gb-black-2gb-ram-dual-sim-4g/p-mp000000001349544","The Honor 8 Smart Smartphone runs on Android Marshmallow 6.0, giving you access to various interesting applications. This black smartphone features a 5.2-inch touchscreen display that delivers crisp and clear visuals. Moreover, its Kirin 650 octa-core processor enables a seamless operation. 2GB RAM, 16GB ROM (Expandable upto 128GB). 13MP Rear and 8MP Front Camera. 3000 mAh Battery. 5.2 Inch 1920x1080 pixels Display","","","","Honor 8 Smart 16GB (Black) 2GB RAM, Dual SIM 4G","Honor","",           "","Black","","{u'Warranty Description': u'1 Year', u'Performance Features': u'4 x 1.7 GHz + 4 x 2.0 GHz Kirin 650 Octa Core Processor', u'Flash': u'LED Flash', u'Memory': u'-', u'Product Width (cm)': u'7.26', u'Camera Features': u'Digital Zoom, Full HD Recording', u'Display Features': u'1920 x 1080 pixels, IPS Display', u'Product Height (cm)': u'14.68', u'Operating System': u'Android v6.0', u'RAM': u'2 GB', u'Color Family': u'Black', u'Warranty Summary': u'Manufacturer Warranty', u'Connectivity': u'4G', u'Screen Size (cm)': u'13.21 cm', u'Additional Features': u'Google Play store, Email, Calendar', u'Sim Size': u'Nano', u'SIM Type': u'Dual Sim', u'Video Recording': u'Yes', u'Operating Frequency': u'2G, 3G, 4G', u'Connectivity Features': u'USB, Bluetooth, Wi-Fi', u'Processor': u'Kirin 650', u'Front Camera': u'8 MP', u'Weight': u'147', u'Primary Camera': u'13 MP', u'Product Depth (cm)': u'0.75'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","Samsung Galaxy C9 Pro 4G Dual Sim 64 GB (Gold)","","29-05-2017 20:37","","38990","36900","-5%","","Mobile Phones","tatacliq.com","","https://www.tatacliq.com/samsung-galaxy-c9-pro-4g-dual-sim-64-gb-gold/p-mp000000001044287","The Galaxy C9 Pro is bundled with a 6 GB RAM and 64 Bit Octa Core processor which takes multitasking to a whole new level. The 15.24 (6 ) FHD sAMOLED display with 2.5D Gorilla glass makes all your scenes come to life. Powered by a 4000 mAh Battery, the Galaxy C9 Pro features a 16 MP front camera and a 16MP rear camera with f/1.9 aperture lens to add more power to your click. The 64 GB internal memory can be expanded up to 256 GB. 6 GB RAM & 64 GB ROM (Expandable upto 256 GB). Battery Capacity: 4000mAh. 16MP Rear Camera with Dual LED Flash + Front 16MP. 15.24cm (6.0) FHD sAMOLED Display","","","","Samsung Galaxy C9 Pro 4G Dual Sim 64 GB (Gold)","Samsung","",           "","Gold","","{u'Warranty Description': u'1 Year Manufacturer Warranty on Phone', u'Performance Features': u'Powered by 6 GB RAM and 1.9GHz Qualcomm Snapdragon 653 (MSM8976SG) Octa Core 64 Bit Processor', u'Flash': u'Dual LED Flash (Rear)', u'In the Box': u'Main Unit', u'Memory': u'-', u'Product Width (cm)': u'8.07', u'Camera Features': u'Geo-tagging / Touch Focus / Face / Smile Detection / Panorama / HDR', u'Display Features': u'6 inches Super AMOLED capacitive touchscreen and 2.5D Gorilla Glass', u'Product Height (cm)': u'16.29', u'Operating System': u'Android v6.0 (Marshmallow)', u'RAM': u'6 GB', u'Color Family': u'Gold', u'Warranty Summary': u'6 Months manufacturer warranty on accessories', u'Connectivity': u'4G', u'Screen Size (cm)': u'15.24 cm', u'Additional Features': u'Accelerometer, Geomagnetic, Fingerprint sensor', u'Sim Size': u'Nano', u'SIM Type': u'Dual Sim', u'Video Recording': u'FHD (1920 x 1080)@30 FPS', u'Unique Thing': u'USB Type-C charging', u'Operating Frequency': u'2G, 3G, 4G', u'Connectivity Features': u'BT 4.2, Wi-Fi a/b/g/n /ac 2.4GHz/5.0GHz Wi-Fi Direct', u'Processor': u'1.9 GHz Octa Core', u'Weight': u'188', u'Front Camera': u'16 MP', u'Primary Camera': u'16 MP', u'Product Depth (cm)': u'0.69'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","Apple iPhone 7 128 GB (Black)","","29-05-2017 20:37","","70000","59990","-14%","","Mobile Phones","tatacliq.com","","https://www.tatacliq.com/apple-iphone-7-128-gb-black/p-mp000000000572029","The Apple iPhone 7 features a 4.7-inch Retina HD display for a crisp and clear visual output. It runs on iOS 10 that takes care of all its functions. With the 128GB built-in memory, this Apple iPhone lets you store all your multimedia files. Capture all your memories with the 12MP camera with f/1.8 aperture and digital zoom of up to 5x. 2 GB RAM and 128 GB Internal Memory. 4.7-inch Retina HD Display. 12 Megapixel Camera with 5x Digital Zoom. Splash, Water and Dust Resistant","","","","Apple iPhone 7 128 GB (Black)","Apple","",           "","Black","","{u'Product Height (cm)': u'13.83', u'Warranty Description': u'1 Year', u'Performance Features': u'A10 Fusion chip with 64-bit Architecture and Embedded M10 Motion Coprocessor', u'Operating System': u'iOS 10', u'Weight': u'138', u'Front Camera': u'7 MP FaceTime HD Camera', u'Resolution': u'1334 x 750 pixels', u'Flash': u'Quad-LED True Tone flash', u'In the Box': u'iPhone with iOS 10, EarPods with Lightning Connector, Lightning to 3.5mm Headphone Jack Adapter, Lightning to USB Cable, USB Power Adapter, Manual', u'Color Family': u'Black', u'Warranty Summary': u'Manufacturer Warranty', u'Connectivity': u'4G', u'Screen Size (cm)': u'11.93 cm', u'Memory': u'128 GB', u'Product Width (cm)': u'6.71', u'Product Depth (cm)': u'0.71', u'Sensors': u'Accelerometer ambient light sensor three-axis gyro sensor digital compass proximity sensor', u'Video Recording': u'1080p@60FPS', u'Sim Size': u'Nano Sim', u'Primary Camera': u'12 MP', u'Display Features': u'1334x750 pixel Resolution, Multi Touch Display with IPS Technology'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
