id,name,permalink,create_date,mrp,price,offer_price,discount,store_id,category_id,              data_source,ref_id,url,description,deal_notes,meta_title,meta_key,meta_des,brand,              size,size_unit,color,key_features,features,specifications,offers,in_stock,free_shipping,              shippingCharge,mm_average_rating,is_deal,is_coupon,start_date,end_date,coupon_code,              special_deal,upcoming_deal,show_as_banner,local_store_deal,localstore_deal_enabled,              featured,enabled,no_cashback,base_product,match_set,match_attempt,store_count,              display_order,last_update,deleted
"","iBall Slide Twinkle i5 Dual SIM 8 GB Tablet (Grey)","","31-05-2017 02:31","","6099","5190","-14%","","Tablets","tatacliq.com","","https://www.tatacliq.com/iball-slide-twinkle-i5-dual-sim-8-gb-tablet-grey/p-mp000000000447055","Complete your office tasks conveniently even while on the go using the iBall Slide Twinkle i5 Gry Tablet. This 3G/2G dual SIM tablet runs on Android 5.1 Lollipop operating system to deliver a flawless performance. This 7-inch device is equipped with a 2 MP camera to capture bright pictures anytime. Engineered with 1 GB RAM and 8 GB memory, it offers smooth operation and sufficient storage for your media files. 1 GB RAM & 8 GB ROM (Expandable Upton 32 GB). 7 Inch 1024 x 600 Pixels Display. 2 MP Rear & 2 MP Front Camera. 2500 mAh Battery","","","","iBall Slide Twinkle i5 Dual SIM 8 GB Tablet (Grey)","iball","",           "","Grey","","{u'Product Height (cm)': u'0', u'RAM': u'1 GB', u'Warranty Description': u'1 Year', u'USB Inputs': u'Yes', u'Front Camera': u'2 MP', u'SIM Type': u'Dual Sim', u'Flash': u'LED', u'In the Box': u'Main Unit', u'Product Depth (cm)': u'0', u'Video Recording': u'Yes', u'Warranty Summary': u'Manufacturer Warranty', u'Product Width (cm)': u'0', u'Performance Features': u'1.3 GHz ARM Cortex A7 Quad Core Processor', u'Memory': u'8 GB', u'Operating Frequency': u'gsm 900 / 1800 / wcdma 2100', u'Camera Features': u'Geo-tagging', u'Color Family': u'Grey', u'Primary Camera': u'2 MP', u'Display Features': u'IPS HD Full Capacitive 1024 x 600 Pixels Display'}","","Special Price Off","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","Apple iPad Air 2 Wi-Fi Cellular 128GB (Grey)","","31-05-2017 02:31","","55900","49900","-10%","","Tablets","tatacliq.com","","https://www.tatacliq.com/apple-ipad-air-2-wi-fi-cellular-128gb-grey/p-mp000000000005896","Click sharp photographs and selfies and record HD videos with your Apple iPad Air 2 WiFi+Cellular 128GB (Space Grey). It has an 8 MP Primary Camera and 1.2MP Secondary Camera. It has Li-Po battery which supports hours of uninterrupted surfing. 8 MP Primary Camera and 1.2 MP Secondary Camera. Fingerprint identity sensor. Ambient light sensor. Fully laminated display","","","","Apple iPad Air 2 Wi-Fi Cellular 128GB (Grey)","APPLE","",           "","Grey","","{u'Warranty Description': u'1 Year', u'Performance Features': u'A8X chip with 64-bit architecture', u'Capacity': u'128 GB', u'In the Box': u'iPad, User Manual, USB Cable, Charger', u'Product Width (cm)': u'17', u'Camera Features': u'Back', u'Display Features': u'Retina Display, LED Backlit, Multi-touch Display with IPS Technology', u'Product Height (cm)': u'24', u'Front Camera Features': u'Face Detection', u'Color Family': u'Grey', u'Warranty Summary': u'Manufacturer Warranty', u'Connectivity': u'Wi-Fi + Cellular', u'Battery life': u'Up to 9 hours of surfing the web using cellular data network', u'Sensors': u'Three-axis gyro sensor accelerometer proximity sensor digital compass ambient light sensor', u'Sim Card': u'Nano Sim', u'Unique Thing': u'3 Axis Gyro Sensor', u'Resolution': u'2048 x 1536 at 264 pixels per inch (ppi)', u'Processor': u'A8 Chip with 64-bit Architecture and M8 Motion Coprocessor', u'Front Camera': u'1.2 MP FaceTime HD Camera', u'Weight': u'444', u'Bluetooth': u'Bluetooth 4.0', u'Primary Camera': u'8 MP', u'Product Depth (cm)': u'0.6'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","Apple iPad Mini Wi-Fi 16GB (White)","","31-05-2017 02:31","","17900","8950","-50%","","Tablets","tatacliq.com","","https://www.tatacliq.com/apple-ipad-mini-wi-fi-16gb-white/p-mp000000000005812","Give your computing experience an upgrade with Apple iPad Mini WiFi 16 GB (White). Equipped with a Dual Core A5 processor and iOS 6 operating system, it offers wireless internet connectivity with Bluetooth and Wi-Fi. 5MP iSight Camera and FaceTime HD Camera. Built-in Speakers. Voice Over Screen Reader. Accelerometer ambient light sensor","","","","Apple iPad Mini Wi-Fi 16GB (White)","APPLE","",           "","White","","{u'Warranty Description': u'1 Year', u'Performance Features': u'accelerometer ambient light sensor three-axis gyro sensor digital compass proximity sensor', u'Capacity': u'16 GB', u'In the Box': u'iPad, User Manual, USB Cable, Charger', u'Connector': u'Lightning', u'Product Width (cm)': u'13.5', u'Camera Features': u'Geo-tagging / Touch Focus / Face Detection', u'Display Features': u'LED Backlit, Multi-touch Display with IPS Technology', u'Product Height (cm)': u'20', u'Front Camera Features': u'Backside Illumination', u'Color Family': u'White', u'Warranty Summary': u'Manufacturer Warranty', u'Connectivity': u'Wi-Fi', u'Battery life': u'Up to 10 hours of surfing the web on Wi-Fi', u'Sensors': u'Accelerometer ambient light sensor three-axis gyro sensor digital compass proximity sensor', u'Sim Card': u'Nano Sim', u'Unique Thing': u'3 Axis Gyro Sensor', u'Resolution': u'1024 x 768 at 163 pixels per inch (ppi)', u'Processor': u'A7 Chip with 64-bit Architecture and M7 Motion Coprocessor', u'Front Camera': u'1.2 MP FaceTime HD Camera', u'Weight': u'308', u'Bluetooth': u'Bluetooth 4.0', u'Primary Camera': u'5 MP', u'Product Depth (cm)': u'0.7'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","Samsung Galaxy J Max Dual SIM/4 G 8 GB Tablet (Gold)","","31-05-2017 02:31","","14000","11900","-15%","","Tablets","tatacliq.com","","https://www.tatacliq.com/samsung-galaxy-j-max-dual-sim-4-g-8-gb-tablet-gold/p-mp000000000415029","The Samsung Galaxy J Max T285 is a 8 GB dual sim tablet from the Galaxy series. Powered by 1.5 Quad core processor, it runs on 1.5 GB RAM for robust multi-tasking. Capture superior quality images with the 8 MP Primary Camera, a 2 MP front shooter. The elaborate 7-inch touchscreen display with 800 x 1280 pixel resolution adds to your viewing pleasure. 1.5 GB RAM and 8 GB ROM (expandable up to 200 GB). 7 inches, 800 x 1280 pixels (HD display). 8 MP Rear Camera & 2 MP Front Camera. Battery Capacity: 4000 mAh","","","","Samsung Galaxy J Max Dual SIM/4 G 8 GB Tablet (Gold)","Samsung","",           "","Gold","","{u'Product Height (cm)': u'18.69', u'RAM': u'1.5 GB', u'Warranty Description': u'1 Year', u'USB Inputs': u'1 x Micro USB v2.0', u'Weight': u'283', u'Front Camera': u'2 MP', u'SIM Type': u'Dual Sim', u'Flash': u'Yes', u'In the Box': u'Main Unit', u'Product Depth (cm)': u'87', u'Video Recording': u'Yes', u'Warranty Summary': u'1 Year on Product and 6 Months on Accessories', u'Product Width (cm)': u'108.8', u'Performance Features': u'The Samsung J Max T285 comes with a 1.5 Quad Core Processor', u'Memory': u'8 GB', u'Operating Frequency': u'2G, 3G, 4G', u'Camera Features': u'Geo-tagging, touch focus, HDR, panorama', u'Color Family': u'Gold', u'Primary Camera': u'8 MP', u'Display Features': u'IPS LCD capacitive touchscreen, 16M colors'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","Apple 9.7 iPad Pro Wi-Fi 256 GB (Gold)","","31-05-2017 02:31","","73900","65900","-10%","","Tablets","tatacliq.com","","https://www.tatacliq.com/apple-9-7-ipad-pro-wi-fi-256-gb-gold/p-mp000000000214787","Powered by the A9X M9 coprocessor, the Apple MLN12HN/A iPad Pro, Gold lets you access multiple applications without experiencing a lag. This iOS 9 iPad is intuitive and versatile. You can take pictures and videos with this 12 MP iSight iPad and view them on its 9.7-inch backlit LED display. Equipped with Wi-Fi connectivity, this 256 GB iPad lets you access multimedia files and apps conveniently. 9.7 inch Screen, 2048 x 1536 pixels Resolution. IOS 9 Operating System. 256 GB Internal Storage Capacity. 12 MP iSight Rear Camera, 5 MP Front Camera","","","","Apple 9.7 iPad Pro Wi-Fi 256 GB (Gold)","Apple","",           "","Gold","","{u'Warranty Description': u'1 Year', u'Performance Features': u'Dual-core 2.16 GHz, Apple A9X', u'Capacity': u'-', u'In the Box': u'iPad Pro, Lightning to USB Cable, USB Power Adapter', u'Connector': u'Lightning', u'Product Width (cm)': u'17', u'Camera Features': u'Front', u'Display Features': u'9.7 inch LED-Backlit Multi-Touch Display', u'Product Height (cm)': u'24', u'Front Camera Features': u'Face Detection', u'Color Family': u'Gold', u'Warranty Summary': u'Manufacturer Warranty', u'Connectivity': u'Wi-Fi', u'Battery life': u'Up to 10 hours (multimedia)', u'Sensors': u'Three-axis gyro sensor accelerometer proximity sensor digital compass ambient light sensor', u'Sim Card': u'Nano Sim', u'Unique Thing': u'3 Axis Gyro Sensor', u'Vide Resolution': u'720p HD video', u'Resolution': u'-', u'Processor': u'-', u'Front Camera': u'5 MP FaceTime HD Camera', u'Weight': u'437', u'Primary Camera': u'12 MP', u'Product Depth (cm)': u'0.6'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","Swipe Strike 4G 16GB (Champagne) 2GB RAM, Dual Sim Wi-Fi+4G","","31-05-2017 02:31","","7000","5999","-14%","","Tablets","tatacliq.com","","https://www.tatacliq.com/swipe-strike-4g-16gb-champagne-2gb-ram-dual-sim-wi-fi4g/p-mp000000001254520","The Swipe Strike 4G is a useful device driven by a robust 1.3 GHz quad-core processor. Its 16 GB memory takes care of multimedia storage needs with efficiency. Furthermore, this Champagne Gold tablet features a convenient 7-inch display that provides a clear view of files, applications, and documents. 2 GB RAM & 16 GB ROM (Expandable Upto 32 GB). 17.78 cm (7 inch) Screen, 1024 x 600 pixels. 5 MP Rear & 2 MP Front Camera. 3000 mAh Lithium-Ion Battery","","","","Swipe Strike 4G 16GB (Champagne) 2GB RAM, Dual Sim Wi-Fi+4G","Swipe","",           "","Gold","","{u'Product Height (cm)': u'0', u'RAM': u'2 GB', u'Warranty Description': u'1 Year', u'USB Inputs': u'Yes', u'Front Camera': u'2 MP', u'SIM Type': u'Dual Sim', u'Flash': u'-', u'In the Box': u'Handset, AC Power Adapter, USB Cable, Battery, User Manual and Warranty Card', u'Product Depth (cm)': u'0', u'Video Recording': u'Yes', u'Warranty Summary': u'Manufacturer Warranty', u'Product Width (cm)': u'0', u'Performance Features': u'1.3 GHz Quad-Core Processor', u'Memory': u'16 GB', u'Operating Frequency': u'1.3 GHz', u'Camera Features': u'Back', u'Color Family': u'Gold', u'Primary Camera': u'5 MP', u'Display Features': u'1024 x 600 pixels, IPS Capacitive Display'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","Asus Fonepad FE170CG-1B040A Dual SIM 8 GB Tablet (White)","","31-05-2017 02:31","","8499","7999","-5%","","Tablets","tatacliq.com","","https://www.tatacliq.com/asus-fonepad-fe170cg-1b040a-dual-sim-8-gb-tablet-white/p-mp000000000447064","Complete your office tasks conveniently even while on the go using the Asus Fonepad FE170CG-1B040A Tablet. This Wi-Fi, 3G, Voice Calling tablet runs on Android v4.3 Jelly Bean operating system to deliver a flawless performance. This 7-inch device is equipped with a 2 MP camera to capture bright pictures anytime. Engineered with 1 GB RAM and 8 GB memory, it offers smooth operation and sufficient storage for your media files. 1 GB RAM & 8 GB ROM (Expandable Upton 64 GB). 7 Inch 1024 x 600 Pixels Display. 2 MP Rear & 0.3 MP Front Camera. 3950 mAh Battery (Upto 30 hrs of talk time)","","","","Asus Fonepad FE170CG-1B040A Dual SIM 8 GB Tablet (White)","Asus","",           "","White","","{u'Product Height (cm)': u'0.4', u'RAM': u'1 GB', u'Warranty Description': u'1 Year', u'USB Inputs': u'1', u'Weight': u'290', u'Front Camera': u'0.3 MP', u'SIM Type': u'Single SIM', u'Flash': u'-', u'In the Box': u'Main Unit', u'Product Depth (cm)': u'0.42', u'Video Recording': u'HD (720p) Recording', u'Warranty Summary': u'Manufacturer Warranty', u'Product Width (cm)': u'7.55', u'Performance Features': u'1.2 GHz Intel Atom Multi-Core Z2520 Processor', u'Memory': u'1 GB', u'Operating Frequency': u'gsm 900/1800 wcdma', u'Camera Features': u'Autofocus', u'Color Family': u'White', u'Primary Camera': u'2 MP', u'Display Features': u'LED Backlight 1024 x 600 Pixels Display'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","Asus ZenPad Theater 8.0 Z380KL 16 GB Tablet (Black)","","31-05-2017 02:31","","18999","12999","-31%","","Tablets","tatacliq.com","","https://www.tatacliq.com/asus-zenpad-theater-8-0-z380kl-16-gb-tablet-black/p-mp000000000271244","If you have been planning to get an advanced tablet that not only looks great, but is also feature-rich, then you can consider getting the stunning Asus ZenPad 8.0. With a host of upgraded multimedia features, connectivity options, interchangeable look, impressive visual reproduction, and much more, it is a must-have in your collection of updated gadgets. 2 GB RAM and 16 GB ROM(Expandable upto 64 GB). 8 inches, 1280x800 p (LED Backlight WXGA display). 8 MP Rear Camera, 2 MP Front Camera. Battery Capacity: 4000mAh","","","","Asus ZenPad Theater 8.0 Z380KL 16 GB Tablet (Black)","Asus","",           "","Black","","{u'Product Height (cm)': u'0.85', u'RAM': u'2 GB', u'Warranty Description': u'1 Year', u'USB Inputs': u'1', u'Weight': u'350', u'Front Camera': u'2 MP', u'SIM Type': u'Single SIM', u'Flash': u'No', u'In the Box': u'Main Unit, Adaptor, Manual, Micro USB Cable', u'Product Depth (cm)': u'20.9', u'Video Recording': u'Yes', u'Warranty Summary': u'Manufacturer Warranty', u'Product Width (cm)': u'12.3', u'Performance Features': u'The Asus tablet is powered by a MSM8929 Qualcomm chipset and Octa Core processor.', u'Memory': u'16 GB', u'Camera Features': u'f/2.0,Autofocus', u'Operating Frequency': u'gsm - 850 900 1800 1900/ wcdma - 2100/ 4g - lte', u'Unique Thing': u'Ips Display', u'Color Family': u'Black', u'Primary Camera': u'8 MP', u'Display Features': u'8 LED Backlight WXGA (1280x800) Screen'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","Iball Slide i701 3G Windows Tablet 16 GB (Black)","","31-05-2017 02:31","","5200","1044","-79%","","Tablets","tatacliq.com","","https://www.tatacliq.com/iball-slide-i701-3g-windows-tablet-16-gb-black/p-mp000000000447020","Complete your office tasks conveniently even while on the go using the Iball i701 Tablet. This Wi-Fi and Bluetooth-enabled tablet runs on Windows 8.1 operating system to deliver a flawless performance. This 7-inch device is equipped with a 2 MP camera to capture bright pictures anytime. Engineered with 1 GB RAM and 16 GB memory, it offers smooth operation and sufficient storage for your media files. 1 GB RAM and 16 GB ROM (Expandable upto 64 GB). Screen Size:7 inches and 1024 x 600 pixels. 2.0 MP Rear & Front Camera for Video Chatting. Battery Capacity: 3200 mAh","","","","Iball Slide i701 3G Windows Tablet 16 GB (Black)","iball","",           "","Black","","{u'Product Height (cm)': u'0', u'RAM': u'1 GB', u'Warranty Description': u'1 Year', u'USB Inputs': u'Yes', u'Front Camera': u'Yes', u'SIM Type': u'-', u'Flash': u'-', u'In the Box': u'Main Unit', u'Product Depth (cm)': u'0', u'Video Recording': u'HD', u'Warranty Summary': u'Manufacturer Warranty', u'Product Width (cm)': u'0', u'Performance Features': u'1.83 GHz Intel Quad Core Processor', u'Memory': u'16 GB', u'Operating Frequency': u'-', u'Camera Features': u'Geo-tagging', u'Color Family': u'Black', u'Primary Camera': u'2 MP', u'Display Features': u'1024 x 600 pixels, Full Capacitive Multi Touch HD Screen'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","Lenovo Yoga B6000 59-393705 16 GB Tablet (Silver)","","31-05-2017 02:31","","23499","4700","-79%","","Tablets","tatacliq.com","","https://www.tatacliq.com/lenovo-yoga-b6000-59-393705-16-gb-tablet-silver/p-mp000000000447048","Complete your office tasks conveniently even while on the go using the Lenovo Tab B6000 59-393705 20.3 cm Tablet. This IPS touchscreen tablet runs on Android v4.2 (Jelly Bean) operating system to deliver a flawless performance. This 8-inch device is equipped with a 5 MP camera to capture bright pictures anytime. Engineered with 1 GB RAM and 16 GB memory, it offers smooth operation and sufficient storage for your media files. 1 GB RAM & 16 GB ROM (Expandable Upton 64 GB). 8 Inch 1280 x 800 Pixels Display. 5 MP Rear & 1.6 MP Front Camera. 6000 mAh Battery (Upto 18 hrs talk time)","","","","Lenovo Yoga B6000 59-393705 16 GB Tablet (Silver)","Lenovo","",           "","Silver","","{u'Product Height (cm)': u'14.4', u'RAM': u'1 GB', u'Warranty Description': u'1 Year', u'USB Inputs': u'1', u'Weight': u'404', u'Front Camera': u'1.6 MP', u'SIM Type': u'-', u'Flash': u'-', u'In the Box': u'Main Unit', u'Product Depth (cm)': u'0.73', u'Video Recording': u'Yes', u'Warranty Summary': u'Manufacturer Warranty', u'Product Width (cm)': u'21.3', u'Performance Features': u'1.2 GHz Quad Core Processor', u'Memory': u'16 GB', u'Operating Frequency': u'GSM + UMTS', u'Camera Features': u'Autofocus', u'Color Family': u'Silver', u'Primary Camera': u'5 MP', u'Display Features': u'IPS 1280 x 800 Pixels Display'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
